Transaction_ID,Date,Time,Sender_ID,Receiver_ID,Sender_Country,Receiver_Country,Payment_Method,Transaction_Amount,Transaction_Currency,Transaction_Velocity,Unusual_Time,Multiple_Currency_Conversions,Repeated_Failed_Attempts,Is_Fraudulent,Is_Known_Fraudster,Is_Sanctioned_Entity
2e45dfae-64d4-4048-96d8-f0822b1101f5,2024-06-30,17:21:08,1b644852-10cb-4dfb-a058-fd7bf512aa94,6b972d93-79e7-4271-82a8-e5d5090467b4,Brazil,France,Cryptocurrency,67924.82,BRL,1,True,False,1,False,False,False
2be16347-184b-477d-afc5-1092dea90b25,2024-04-09,17:19:06,8cb1a5b3-1f7f-4b69-a441-db2526ae09c7,c234c6a1-680d-4700-9677-5704c424c111,Australia,India,Cryptocurrency,3272.9,AUD,2,False,False,2,False,False,False
793ad6f9-4186-405c-b2b8-d19ef66bab5e,2024-08-27,18:23:31,7c4c311f-7200-4924-bf0c-fd1c560cf763,ffd1de29-9d41-488e-9fdd-f14ea992ee29,Canada,France,bank transfer,54765.97,CAD,3,True,False,0,False,False,False
c42210ee-2aaa-4865-9631-5f0b0b5c5534,2024-02-26,11:45:19,bacd0d0b-8def-4314-98c3-abd068410cb5,60658c18-9953-472b-b666-76279b1e30d3,Germany,USA,Cryptocurrency,17807.5,EUR,4,False,False,1,False,False,False
91da4dbd-c64d-43a8-9f6b-6a4c09798700,2024-05-26,10:55:02,cc9d8aca-5f08-4960-9e2a-b1ffb61b1eef,08a74564-359c-4fb2-85f2-7bfb44a5925f,Japan,Brazil,bank transfer,69275.32,JPY,3,False,False,0,False,False,False
ba216817-2e36-4914-bbec-c0295a9349ea,2023-11-24,04:27:53,b62bce1f-f436-420d-88c2-1b021fca7a40,ff310100-7cc7-4f42-8672-ddbfa8ad081d,Japan,UK,PayPal,82287.07,JPY,4,False,True,1,False,False,False
22021aa6-5fd1-4d81-9e97-03f00cd07cc7,2024-06-02,22:56:51,77ecc07a-c8d7-4113-8414-52858dbb95d6,63a63f5f-758f-4724-85ea-5462d2d80539,France,Germany,Skrill,16856.06,EUR,3,False,False,1,False,False,False
5273f674-ba24-4115-84df-94322bd9449d,2024-04-20,18:54:29,55f56a2c-0595-4fa6-b978-4fb6fe2932b1,f3579b02-57ef-4c08-b78d-62220943041e,India,USA,Cryptocurrency,89940.28,INR,4,False,False,0,False,False,False
7e096bf5-b873-4c28-9b96-22ecb33206a1,2024-04-18,10:58:45,247272e9-781c-4422-a98b-edca64b61cad,a1db47fd-320f-45b7-a4fa-6d754ab0d642,Japan,UK,bank transfer,55079.98,JPY,2,False,True,2,False,False,False
f1c2fb8a-949e-4ce8-94fa-d8f378eeffb3,2024-03-21,16:43:30,01e798e5-f762-41a6-ad01-3698a9cb1680,874deeb9-41af-41ff-9d43-35a70986f851,UK,UK,Cryptocurrency,75705.12,GBP,3,False,False,0,False,False,False
